year,chrstprot,chrstcat,chrstorth,chrstang,chrstothr,total christians,judorth,jdcons,judref,judothr,total jews,islmsun,islmshi,islmibd,islmnat,islmalw,islmahm,islmothr,total muslims,budmah,budthr,budothr,total buddhists,total zoroastrains/parsis,total hindus,total sikhs,total shinto,total baha'i,total taoists,total jains,total confucists,total syncretics,total animists,non religious,other religions,sum of religious adherents,population in independent states,worldpop,version
1995,"38,55,09,297","96,26,14,859","18,28,60,714","6,90,80,890","18,53,49,210","1,78,54,14,969","51,43,346","19,00,415","23,92,642","46,35,903","1,40,72,306","71,38,20,144","11,65,74,174","12,29,556",0,"1,18,24,580","2,00,000","31,13,42,152","1,15,49,90,606",0,"4,12,23,800","37,07,31,530","41,19,55,330","14,86,982","72,08,68,905","1,90,75,084","9,61,37,007","48,47,579","65,21,306","40,96,172","12,73,987","50,30,19,620","19,29,06,325","80,22,80,726","4,19,03,686","5,71,89,46,902","5,67,00,00,000","5,68,70,11,326",1.1
2000,"44,36,10,594","97,86,33,933","26,43,56,291","6,82,91,261","13,60,31,105","1,89,09,23,184","54,33,428","18,49,587","23,06,902","38,56,395","1,34,46,312","1,11,49,87,699","15,38,72,692","13,60,367",0,"1,25,68,650","5,36,000","3,07,22,832","1,31,40,48,240","49,38,780","11,32,40,351","27,00,76,925","38,82,56,056","20,04,398","87,56,05,734","2,00,52,963","9,71,89,265","40,80,074","98,00,202","43,22,367","38,16,742","56,28,44,555","16,67,47,465","78,24,12,122","3,35,42,527","6,13,55,49,678","6,07,70,00,000","6,08,10,02,937",1.1
2005,"49,09,42,837","1,01,38,83,916","25,51,24,896","6,90,37,503","16,17,42,315","1,99,07,31,467","62,71,171","17,78,851","23,42,301","38,78,005","1,42,70,328","1,20,16,27,932","16,49,19,787","14,15,383",0,"1,59,93,460","5,43,367","4,19,54,417","1,42,64,54,346","1,40,98,904","15,68,29,163","30,31,89,054","47,41,17,121","16,76,073","94,73,61,362","2,18,69,149","10,72,21,255","43,09,833","1,22,95,370","47,44,957","38,50,741","56,93,36,868","17,13,48,718","74,38,21,311","3,90,44,537","6,49,34,08,899","6,43,60,00,000","6,46,21,81,426",1.1
2010,"55,78,30,085","1,04,97,09,823","26,87,83,851","7,17,70,419","16,38,18,774","2,11,19,12,953","66,37,406","18,99,567","25,09,660","29,76,676","1,40,23,309","1,32,12,04,779","18,32,18,930","16,06,195",0,"41,08,974","5,00,000","4,48,43,888","1,55,54,82,766","1,49,51,768","16,56,12,816","30,46,82,353","48,52,46,937","17,51,038","1,01,73,42,648","2,37,76,500","10,83,43,192","48,40,062","98,79,877","51,15,141","39,87,537","59,05,30,545","17,42,64,339","78,83,23,943","2,65,72,933","6,89,48,20,787","6,83,90,00,000","6,84,04,23,256",1.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
